R#,NAME,TOTAL,POS,TEAM,GP,TOI,GOA,AST,PIM,BLK,SHP,SAV,GA,SHU,WIN
491,Andrew Peeke,77.4,D,UTA,74,18.3,4,13,21,127,1,,0,,
492,Brett Kulak,77.1,D,COL,83,19.1,4,16,31,106,0,,0,,
493,Noel Acciari,77.1,CRW,PHI,74,13.4,10,10,15,87,1,,0,,
494,Jani Nyman,77.1,RW,SEA,70,11.4,14,15,14,28,0,,0,,
495,Niko Mikkola,77.1,D,FLA,77,20.3,4,13,53,94,1,,0,,
496,Tye Kartye,77.1,LW,NYR,73,12,10,14,35,47,1,,0,,
497,Justin Danforth,76.8,RW,BUF,70,13.9,11,13,21,55,1,,0,,
498,Stephen Halliday,76.5,CLW,OTT,83,11,13,14,13,42,0,,0,,
499,Brad Lambert,76.2,C,WPG,77,11.3,14,15,15,24,0,,0,,
500,Pontus Holmberg,75.9,RW,TB,68,13.4,11,13,27,51,0,,0,,
501,Jordan Greenway,75.9,LW,CHI,76,13.2,8,12,52,56,1,,0,,
502,Maveric Lamoureux,75.9,D,UTA,72,16,5,13,69,69,0,,0,,
503,Conor Timmins,75.6,D,BUF,69,18.1,3,16,33,109,0,,0,,
504,Morgan Barron,75.6,CLW,WPG,72,12.4,12,10,23,49,2,,0,,
505,Joel Edmundson,75.3,D,LA,79,18.6,4,14,27,109,1,,0,,
506,Sean Kuraly,75.3,CRW,BOS,83,12.3,9,13,39,52,1,,0,,
507,Connor Clifton,75,D,BOS,69,16.7,3,12,48,107,1,,0,,
508,Ryan Lindgren,75,D,SEA,75,18.5,3,12,45,110,1,,0,,
509,Ville Koivunen,74.7,RW,PIT,75,13.2,10,19,18,36,0,,0,,
510,Reilly Smith,74.4,LWRW,VEG,71,13.8,12,17,13,25,1,,0,,
511,Ty Dellandrea,74.4,C,SJ,77,13.9,7,12,44,64,2,,0,,
512,Michael Brandsegg-Nygard,74.4,RW,DET,83,11.9,11,17,14,39,0,,0,,
513,Miles Wood,74.4,LW,CBJ,71,11.8,10,11,47,41,1,,0,,
514,Lukas Reichel,74.1,LW,BOS,72,13,11,16,16,41,0,,0,,
515,Ryker Evans,74.1,D,SEA,75,18,5,15,35,87,0,,0,,
516,Michael Carcone,74.1,LW,UTA,64,12.4,13,14,29,18,0,,0,,
517,Mark Jankowski,73.2,C,CAR,66,11.3,12,11,19,45,1,,0,,
518,Michael Kesselring,72.9,D,SJ,74,13.9,4,13,70,68,0,,0,,
519,Rutger McGroarty,72.9,RW,PIT,70,12.5,12,15,13,35,0,,0,,
520,Zemgus Girgensons,72.9,LW,TB,81,14,9,11,32,61,1,,0,,
521,Yakov Trenin,72.9,CLWRW,MIN,81,13.2,10,11,37,46,1,,0,,
522,Uvis Balinskis,72.6,D,FLA,83,16.2,5,19,33,64,0,,0,,
523,Anthony Duclair,72.6,LW,NYI,63,13.4,12,13,16,41,0,,0,,
524,Nick Perbix,72.3,D,NAS,76,18.1,5,15,19,92,1,,0,,
525,Adam Gaudette,72.3,CRW,SJ,66,11.1,15,9,15,31,0,,0,,
526,Michael Eyssimont,72.3,LW,BOS,75,10.4,11,10,48,33,0,,0,,
527,Philipp Kurashev,72.3,RW,SJ,56,15.6,11,17,18,28,0,,0,,
528,Cole Smith,72.3,LW,CHI,78,13.3,10,10,44,42,1,,0,,
529,Lian Bichsel,72,D,DAL,78,15.4,6,11,58,67,0,,0,,
530,Tyler Kleven,72,D,OTT,74,16.8,4,12,37,98,1,,0,,
531,Casey Cizikas,71.7,CLW,NYI,81,11.8,9,10,22,67,2,,0,,
532,Jamie Oleksiak,71.7,D,VAN,77,17.3,4,11,30,114,0,,0,,
533,Axel Sandin-Pellikka,71.4,D,DET,72,16.2,8,16,18,60,0,,0,,
534,Cody Ceci,71.1,D,LA,83,18.1,3,14,18,114,1,,0,,
535,Nathan Walker,71.1,LW,STL,70,11.7,9,11,32,55,1,,0,,
536,Aatu Raty,71.1,C,VAN,74,12.1,11,13,25,32,1,,0,,
537,Kailer Yamamoto,70.8,RW,UTA,72,11.8,13,12,16,30,0,,0,,
538,Evgenii Dadonov,70.8,RW,NJ,80,10.9,12,13,13,38,0,,0,,
539,Martin Pospisil,70.5,CRW,CGY,81,10.9,8,14,53,32,0,,0,,
540,Colton Sissons,70.2,CRW,TOR,74,12.7,9,11,26,58,1,,0,,
541,Beck Malenstyn,70.2,LWRW,BUF,81,11.5,8,9,25,79,1,,0,,
542,Ryan Ufko,69.9,D,NAS,70,13.9,6,20,16,57,0,,0,,
543,Matthew Robertson,69.9,D,NYR,71,17.4,6,12,34,79,0,,0,,
544,Theo Lindstein,69.9,D,STL,76,15.8,7,13,21,77,0,,0,,
545,Max Sasson,69.6,CLW,VAN,70,11.6,12,11,17,40,0,,0,,
546,Reid Schaefer,69.6,LW,NAS,76,10.1,11,9,22,55,0,,0,,
547,Eric Robinson,69.3,LWRW,CAR,76,11.3,12,13,13,28,1,,0,,
548,Mike Benning,69.3,D,CGY,65,16.9,7,16,13,68,0,,0,,
549,Dante Fabbro,69.3,D,CBJ,67,17.1,4,11,30,106,0,,0,,
550,Trent Frederic,69,CLWRW,EDM,76,11.7,9,12,48,32,0,,0,,
551,Jalen Chatfield,68.7,D,CAR,74,19.8,5,16,26,68,1,,0,,
552,Logan Mailloux,68.7,D,STL,70,16.8,6,13,42,62,0,,0,,
553,Louis Crevier,68.7,D,BUF,63,17,5,11,32,87,1,,0,,
554,Erik Gudbranson,68.4,D,CBJ,65,17.8,3,12,32,101,1,,0,,
555,Charles Legault,68.1,D,CAR,83,13.3,6,12,36,71,0,,0,,
556,Nicolas Hague,67.8,D,NAS,73,19.1,4,12,41,80,1,,0,,
557,Parker Wotherspoon,67.5,D,VEG,68,19.8,2,16,26,94,1,,0,,
558,Paul Cotter,67.2,LW,VAN,80,11.2,12,10,27,27,0,,0,,
559,Elmer Soderblom,66.9,LWRW,PIT,68,11.7,11,12,19,34,0,,0,,
560,Lenni Hameenaho,66.3,RW,NJ,65,12.7,10,14,17,34,0,,0,,
561,Shakir Mukhamadullin,66.3,D,EDM,66,17.2,5,12,24,87,0,,0,,
562,Andrew Mangiapane,66.3,LWRW,CHI,64,12.7,10,12,23,38,0,,0,,
563,Tyson Jost,66,CLW,NAS,70,12.1,9,11,30,40,1,,0,,
564,Brian Dumoulin,66,D,LA,82,18,3,15,20,90,1,,0,,
565,Kasperi Kapanen,66,RW,EDM,66,14.2,10,14,18,27,1,,0,,
566,Derek Forbort,65.7,D,VAN,73,17.1,2,10,42,102,1,,0,,
567,Wyatt Kaiser,65.7,D,CHI,70,19.4,4,13,31,83,0,,0,,
568,Dmitry Kulikov,65.7,D,FLA,76,18.2,3,13,41,78,1,,0,,
569,Alexander Petrovic,65.1,D,FLA,68,15.2,3,11,41,91,0,,0,,
570,Olli Maatta,65.1,D,MIN,69,17.5,3,16,11,96,0,,0,,
571,Scott Mayfield,65.1,D,NYI,69,16.6,2,10,51,91,1,,0,,
572,Samuel Honzek,65.1,LWRW,CGY,60,12.9,11,12,10,32,1,,0,,
573,Mitchell Chaffee,65.1,RW,NYI,72,11.7,11,11,18,34,0,,0,,
574,Lars Eller,65.1,C,FLA,76,11.7,9,12,20,42,1,,0,,
575,Tyson Kozak,64.8,C,BUF,72,11.4,8,11,11,65,1,,0,,
576,Erik Gustafsson,64.8,D,LA,68,16.2,4,20,26,50,0,,0,,
577,Dmitri Simashev,64.5,D,UTA,70,16.1,4,13,27,83,0,,0,,
578,Kaedan Korczak,64.2,D,PIT,76,15.8,3,16,19,85,0,,0,,
579,Barclay Goodrow,63.9,LW,SJ,75,11.5,6,7,54,59,1,,0,,
580,Travis Boyd,63.9,C,TOR,77,9.5,9,15,10,38,0,,0,,
581,Scott Morrow,63.6,D,NYR,64,15.8,4,19,12,65,0,,0,,
582,Danton Heinen,63.6,LW,CBJ,64,11.8,9,13,22,35,0,,0,,
583,Jesperi Kotkaniemi,63.3,C,CAR,65,12,9,14,21,30,0,,0,,
584,Luke Kunin,63.3,CRW,FLA,72,10.7,8,7,36,55,1,,0,,
585,Gustav Nyquist,63,LWRW,WPG,64,13.2,8,17,11,29,1,,0,,
586,Jonny Brodzinski,63,CLW,WAS,72,11,11,12,12,28,0,,0,,
587,Ryan Winterton,63,RW,SEA,69,12.4,8,14,16,39,1,,0,,
588,Alexey Toropchenko,63,LWRW,STL,71,12.2,7,10,24,61,1,,0,,
589,Alex Turcotte,62.7,CLW,LA,65,11.2,8,14,17,42,0,,0,,
590,Brennan Othmann,62.7,LW,CGY,76,10.3,10,12,16,33,0,,0,,
591,Tim Washe,62.4,C,ANA,74,12.3,8,11,20,48,1,,0,,
592,Mathieu Joseph,62.4,RW,EDM,73,12.4,7,14,19,44,1,,0,,
593,Nils Hoglander,62.4,LW,NAS,67,11.9,10,13,22,21,0,,0,,
594,Emil Andrae,62.4,D,TOR,74,15.6,4,14,23,75,0,,0,,
595,Nick Jensen,62.4,D,ANA,71,17.7,3,16,16,82,0,,0,,
596,Trevor van Riemsdyk,62.4,D,PIT,72,16.4,2,13,22,101,0,,0,,
597,Ilya Lyubushkin,62.1,D,NAS,67,16.1,1,10,38,109,0,,0,,
598,Arber Xhekaj,62.1,D,MON,70,11.9,2,7,101,51,0,,0,,
599,Nils Lundkvist,62.1,D,DAL,72,16.3,4,15,27,65,0,,0,,
600,Mason Appleton,61.8,RW,DET,68,13.7,8,12,21,40,1,,0,,
