R#,NAME,TOTAL,POS,TEAM,GP,TOI,GOA,AST,PIM,BLK,SHP,SAV,GA,SHU,WIN
123,Elias Pettersson,147,C,VAN,72,18.7,19,37,16,94,1,,0,,
124,Tyson Foerster,147,LWRW,PHI,81,17.4,28,20,39,66,1,,0,,
125,Kyle Palmieri,146.7,RW,NYI,81,18.2,27,27,25,54,1,,0,,
126,Ryan O'Reilly,146.7,C,NAS,77,19.6,21,36,20,74,1,,0,,
127,Trevor Zegras,146.7,CLWRW,PHI,80,18.6,23,35,46,38,0,,0,,
128,Tyler Bertuzzi,145.8,LWRW,CHI,81,17.8,29,23,39,42,0,,0,,
129,Owen Tippett,145.5,LWRW,PHI,82,16.7,28,25,17,58,1,,0,,
130,Carter Verhaeghe,145.2,LW,FLA,80,17.3,25,34,33,31,0,,0,,
131,Anthony Cirelli,144.9,C,TB,76,17.4,22,28,34,69,4,,0,,
132,Mason McTavish,144.6,C,STL,81,15.9,24,29,50,47,0,,0,,
133,Alexis Lafreniere,144.3,LWRW,NYR,84,17.8,25,31,31,45,0,,0,,
134,Jackson Blake,144.3,RW,CAR,79,16.5,25,30,36,45,0,,0,,
135,Will Cuylle,144.3,LWRW,NYR,84,16.6,24,21,56,75,1,,0,,
136,Mikael Granlund,143.1,CLW,ANA,75,18.9,20,38,25,57,1,,0,,
137,Ryan Leonard,142.8,RW,WAS,82,15.1,27,26,42,34,0,,0,,
138,Anthony Mantha,141.9,LWRW,NJ,80,15.4,25,28,38,45,0,,0,,
139,Ben Kindel,141.3,C,PIT,80,15.9,25,25,19,67,2,,0,,
140,Brock Boeser,141.3,LWRW,VAN,79,18.5,28,27,13,38,1,,0,,
141,Darren Raddysh,140.7,D,TOR,75,21.6,15,40,39,80,0,,0,,
142,Shane Pinto,140.1,C,OTT,74,18.6,25,21,32,65,3,,0,,
143,Thomas Harley,139.2,D,DAL,79,23.1,11,36,25,144,1,,0,,
144,Jordan Kyrou,138.9,RW,WAS,80,16,26,31,16,32,0,,0,,
145,Charlie Coyle,138.6,C,CBJ,83,17.6,21,30,24,68,2,,0,,
146,MacKenzie Weegar,138.3,D,UTA,79,22.8,8,29,61,170,1,,0,,
147,Brandt Clarke,138,D,LA,77,19.9,9,34,54,146,0,,0,,
148,Ryan Nugent-Hopkins,137.1,CLW,EDM,78,18.7,19,39,26,41,1,,0,,
149,Travis Sanheim,136.8,D,PHI,83,24.1,11,30,33,153,2,,0,,
150,Dawson Mercer,136.8,CRW,NJ,84,18.5,24,22,27,69,2,,0,,
151,Joel Eriksson Ek,136.5,C,MIN,71,19,22,27,34,61,1,,0,,
152,Dougie Hamilton,135.3,D,NJ,79,21.2,13,36,47,94,0,,0,,
153,Jordan Eberle,135.3,RW,SEA,80,17.7,24,28,23,48,0,,0,,
154,JJ Peterka,135,LWRW,BOS,79,16.9,26,28,29,21,0,,0,,
155,Artturi Lehkonen,134.7,LWRW,COL,73,18.3,25,23,24,55,1,,0,,
156,Brock Faber,134.4,D,MIN,81,24.8,11,32,33,140,1,,0,,
157,Marco Rossi,134.4,C,VAN,78,17.7,21,32,27,51,0,,0,,
158,Shayne Gostisbehere,134.1,D,CAR,70,19.2,12,45,29,73,0,,0,,
159,Alex Laferriere,133.5,CLWRW,LA,81,17.9,24,23,29,56,1,,0,,
160,Josh Doan,132.9,RW,BUF,84,15.8,24,29,22,36,0,,0,,
161,Pavel Buchnevich,132.9,CLWRW,STL,79,17.8,21,31,27,46,1,,0,,
162,Valeri Nichushkin,132.6,LWRW,CBJ,74,17.8,24,25,22,45,2,,0,,
163,Patrik Laine,132.3,LWRW,MON,77,14.6,26,23,22,44,0,,0,,
164,Vince Dunn,132,D,SEA,76,21.7,12,37,53,82,0,,0,,
165,Jake DeBrusk,131.7,LWRW,VAN,83,16.5,26,22,16,48,1,,0,,
166,Jason Zucker,131.7,LW,BUF,74,15.2,23,27,47,27,0,,0,,
167,Zach Benson,131.4,LW,BUF,74,17.8,19,30,50,43,1,,0,,
168,Mathieu Olivier,131.4,RW,CBJ,83,14,17,16,111,72,1,,0,,
169,Pierre-Luc Dubois,131.4,CLW,WAS,80,16.7,18,33,45,48,0,,0,,
170,Mike Matheson,131.1,D,MON,80,24.2,7,31,45,157,2,,0,,
171,Pavel Zacha,130.8,CLW,BOS,81,16.5,22,31,21,35,1,,0,,
172,Thomas Chabot,130.8,D,OTT,76,22.6,10,34,27,134,1,,0,,
173,Anton Lundell,130.5,C,FLA,74,18.9,20,28,34,51,2,,0,,
174,Elias Lindholm,130.2,C,BOS,78,17.6,18,29,27,77,1,,0,,
175,Gabriel Landeskog,130.2,LWRW,COL,75,16,19,28,48,56,0,,0,,
176,Connor McMichael,129.9,CLW,STL,80,16.9,20,27,35,53,2,,0,,
177,Jonathan Huberdeau,129.9,LWRW,CGY,77,17.8,18,30,42,56,1,,0,,
178,Shea Theodore,129.6,D,VEG,74,22.6,9,45,22,95,0,,0,,
179,Blake Coleman,129.3,CLW,MIN,77,17.1,20,21,45,66,3,,0,,
180,Mason Marchment,129,LW,SJ,69,16.7,21,27,51,34,0,,0,,
181,Chris Kreider,129,LW,ANA,76,16.8,24,23,28,42,1,,0,,
182,Gabe Perreault,129,RW,NYR,75,17,23,29,16,39,0,,0,,
183,Patrick Kane,128.1,RW,CHI,72,17.3,19,39,16,26,0,,0,,
184,Tyler Seguin,127.5,CRW,DAL,74,16.3,23,29,19,31,0,,0,,
185,Bobby McMann,127.2,LWRW,SEA,74,16.6,26,19,33,36,0,,0,,
186,Ivan Barbashev,127.2,LW,VEG,79,16,22,29,17,42,0,,0,,
187,Josh Norris,126.9,C,BUF,68,16.5,21,25,34,49,1,,0,,
188,Thomas Bordeleau,126.9,C,NJ,79,15.4,21,24,32,61,0,,0,,
189,Darnell Nurse,126.3,D,SJ,81,21.3,7,24,77,149,1,,0,,
190,Christian Dvorak,126,C,PHI,80,17.8,18,28,23,72,1,,0,,
191,Anders Lee,126,LW,UTA,83,15.4,23,18,41,59,0,,0,,
192,Boone Jenner,126,CLW,WAS,80,16.2,19,22,33,82,1,,0,,
193,Seth Jones,125.4,D,FLA,78,23.8,11,34,25,108,1,,0,,
194,Jack Quinn,125.1,RW,BUF,77,15.8,23,28,19,28,0,,0,,
195,Ryan McLeod,124.8,C,BUF,81,17.4,17,34,16,40,4,,0,,
196,Igor Chernyshov,124.2,LWRW,SJ,76,16.6,23,25,18,41,0,,0,,
197,Logan Stankoven,124.2,CRW,CAR,78,15.9,23,26,17,37,0,,0,,
198,Brandon Montour,124.2,D,SEA,80,22.6,14,26,50,94,0,,0,,
199,Lawson Crouse,123.6,LWRW,UTA,82,16,21,18,41,66,1,,0,,
200,Jake Neighbours,123.3,LWRW,STL,77,15.7,21,22,39,52,0,,0,,
201,Troy Terry,123,RW,ANA,63,18.2,20,33,16,24,1,,0,,
202,Brayden Schenn,122.7,CLW,NYI,82,16.5,18,25,55,49,0,,0,,
203,Ryan Hartman,122.4,CRW,MIN,70,16.2,18,20,52,76,0,,0,,
204,Filip Hronek,122.4,D,VAN,78,24.8,7,39,43,95,1,,0,,
205,Chandler Stephenson,122.4,C,SEA,80,19,14,37,19,54,2,,0,,
206,Calum Ritchie,122.1,CRW,NYI,80,15.7,20,25,27,55,0,,0,,
207,Matt Coronato,122.1,RW,CGY,83,16.8,22,26,26,31,0,,0,,
208,Victor Hedman,122.1,D,TB,76,19.5,9,38,30,97,0,,0,,
209,Ridly Greig,121.5,CLWRW,OTT,77,17,16,21,66,64,2,,0,,
210,Matvei Gridin,121.5,LWRW,CGY,77,16.4,19,28,10,65,0,,0,,
211,Mattias Ekholm,121.2,D,EDM,79,20.8,9,33,35,109,1,,0,,
212,Morgan Rielly,121.2,D,TOR,80,21.1,9,34,25,119,0,,0,,
213,Jacob Trouba,120.9,D,SJ,80,22.5,6,23,49,174,1,,0,,
214,Sean Monahan,120.9,C,CBJ,78,17,18,30,17,46,2,,0,,
215,Claude Giroux,120.9,CLWRW,OTT,84,16.5,16,36,20,38,1,,0,,
216,Ivan Provorov,120.3,D,CBJ,83,24.6,9,28,28,138,1,,0,,
217,Simon Holmstrom,120.3,LWRW,NYI,79,16.8,20,22,15,56,4,,0,,
218,Simon Nemec,120.3,D,CGY,83,20.8,11,25,42,124,0,,0,,
219,Kiefer Sherwood,119.7,LWRW,SJ,77,16.5,21,21,41,38,1,,0,,
220,Luke Evangelista,119.1,LWRW,NAS,80,16.4,17,34,25,32,0,,0,,
221,Carter Yakemchuk,119.1,D,OTT,78,19.5,10,26,52,110,1,,0,,
222,Simon Edvinsson,119.1,D,DET,76,22.2,8,22,62,140,1,,0,,
223,Teuvo Teravainen,118.2,LWRW,CHI,82,17.1,17,32,11,43,2,,0,,
224,Jiri Kulich,117.9,C,BUF,71,16.5,21,20,23,60,0,,0,,
225,Cole Perfetti,117.9,LWRW,WPG,79,15.6,20,26,20,43,0,,0,,
226,Sean Durzi,117,D,NYR,81,19.6,8,27,52,123,0,,0,,
227,Justin Faulk,116.7,D,DET,78,22.1,9,27,36,123,1,,0,,
228,Charle-Edouard D'Astous,116.4,D,TB,81,18.8,7,24,108,90,0,,0,,
229,Collin Graf,116.4,LWRW,SJ,83,16.7,20,21,19,54,2,,0,,
230,Justin Hryckowian,116.4,CLW,DAL,83,14.8,18,19,45,63,1,,0,,
231,Eeli Tolvanen,116.1,LWRW,SEA,80,15.8,18,20,25,77,1,,0,,
232,Shane Wright,115.5,CRW,SEA,83,14.3,19,22,16,69,0,,0,,
233,Matthew Wood,115.5,CRW,NAS,79,14.7,22,21,18,42,0,,0,,
234,Emil Heineman,115.2,LWRW,NYI,82,16,22,16,25,59,0,,0,,
235,Joel Farabee,115.2,LWRW,CGY,82,16.6,18,20,30,64,2,,0,,
236,Matt Savoie,114.6,CRW,EDM,83,15.2,20,22,15,47,2,,0,,
237,Seth Jarvis,114.3,LWRW,CAR,47,19.3,22,21,10,31,3,,0,,
238,Taylor Hall,114.3,LW,CAR,78,14.3,18,25,36,40,0,,0,,
239,Tyler Toffoli,114.3,LWRW,SJ,78,14.4,23,22,12,29,0,,0,,
240,Esa Lindell,114,D,DAL,83,23,6,26,17,168,1,,0,,
241,Jonathan Marchessault,114,LWRW,NAS,71,16.5,20,26,31,19,0,,0,,
242,Conor Garland,113.7,RW,CBJ,74,16.8,17,25,36,43,1,,0,,
243,Noah Cates,113.7,C,PHI,78,16.1,18,23,22,57,1,,0,,
244,Jack Roslovic,113.4,CRW,TOR,77,15.5,21,23,16,37,0,,0,,
245,Sean Walker,113.1,D,CAR,81,21,10,21,49,118,1,,0,,
246,Vladislav Gavrikov,112.8,D,NYR,83,23.6,9,25,37,119,1,,0,,
247,Nikita Zadorov,112.5,D,BOS,80,19.7,5,19,128,97,1,,0,,
248,Jake McCabe,112.5,D,TOR,74,22.2,5,23,52,153,1,,0,,
249,Corey Perry,112.5,RW,LA,81,13.1,19,17,63,37,0,,0,,
250,Alexander Wennberg,112.5,C,SJ,75,19.7,13,27,16,89,1,,0,,
251,Alex Killorn,112.5,LWRW,ANA,84,16.5,18,21,41,39,2,,0,,
252,Jamie Benn,112.2,CLWRW,DAL,76,13.4,16,25,47,42,0,,0,,
253,Andrei Kuzmenko,112.2,LWRW,PIT,83,14.7,19,27,19,30,0,,0,,
254,Viktor Arvidsson,112.2,LWRW,DET,71,14.3,20,22,25,39,0,,0,,
255,Colton Parayko,112.2,D,STL,76,22.4,9,19,19,165,1,,0,,
256,Fraser Minten,111.6,C,BOS,83,14.9,19,20,21,56,1,,0,,
257,Jack McBain,111.3,CLW,UTA,83,13.9,14,19,69,62,1,,0,,
258,Devon Toews,111.3,D,COL,75,22.7,7,35,27,94,1,,0,,
259,Alex Newhook,111.3,CLW,MON,81,14.7,21,19,22,39,1,,0,,
260,Easton Cowan,111,LW,TOR,76,15.3,16,25,44,41,0,,0,,
261,Ryan Poehling,111,C,ANA,80,14.9,13,23,15,95,3,,0,,
262,Vasily Podkolzin,111,LWRW,EDM,84,15.2,17,19,42,63,0,,0,,
263,Alexander Nikishin,111,D,CAR,84,19.5,10,26,30,105,1,,0,,
264,Yegor Chinakhov,110.7,LWRW,PIT,77,14.1,21,22,12,37,0,,0,,
265,Cam York,110.7,D,PHI,78,22.1,7,23,32,147,1,,0,,
266,Evander Kane,110.4,LWRW,VAN,73,16,17,20,66,32,0,,0,,
267,Morgan Frost,110.4,C,CGY,76,15.6,17,25,23,50,0,,0,,
268,Vladimir Tarasenko,110.4,LWRW,MIN,81,14.6,19,26,10,38,0,,0,,
269,Ryan Donato,110.1,CLWRW,CHI,83,14.7,20,21,37,25,0,,0,,
270,Max Domi,110.1,CLW,TOR,78,14.5,11,27,88,34,0,,0,,
271,Oliver Kapanen,109.5,C,MON,82,14.2,19,18,22,58,1,,0,,
272,Marco Kasper,109.5,CLW,DET,83,14.6,17,19,35,60,1,,0,,
273,Mavrik Bourque,108.6,CRW,NAS,83,15.4,20,21,15,42,0,,0,,
274,Erik Haula,108.3,CLW,LA,79,16.1,15,19,49,57,2,,0,,
275,K'Andre Miller,108,D,CAR,72,22.3,8,28,41,89,2,,0,,
276,Eetu Luostarinen,108,LW,FLA,80,16.5,15,20,26,74,2,,0,,
277,Jordan Staal,108,C,CAR,76,15.8,16,21,27,58,2,,0,,
278,Aaron Ekblad,107.7,D,FLA,73,22.6,6,28,60,94,1,,0,,
279,Brady Skjei,107.7,D,NAS,83,22.4,7,30,39,90,2,,0,,
280,Kris Letang,107.4,D,PIT,77,22.1,7,29,45,98,0,,0,,
281,Connor Brown,107.1,RW,NJ,82,16.5,17,23,17,45,2,,0,,
282,Oliver Bjorkstrand,107.1,RW,NYR,80,13.7,17,27,15,37,0,,0,,
283,Emmitt Finnie,107.1,CLW,DET,83,16.1,18,23,8,54,0,,0,,
284,William Karlsson,106.8,C,VEG,70,15.9,16,23,18,53,2,,0,,
285,Jamie Drysdale,106.8,D,PHI,79,21.3,9,28,25,101,0,,0,,
286,Barrett Hayton,106.2,C,UTA,77,15.6,16,19,43,56,0,,0,,
287,Trevor Moore,106.2,LWRW,LA,72,16.6,18,21,14,45,2,,0,,
288,Jake Walman,106.2,D,EDM,70,19.6,9,21,27,127,1,,0,,
289,Arseny Gritsyuk,105.9,LWRW,NJ,78,15.4,17,25,26,32,0,,0,,
290,Cole Sillinger,105.9,CRW,CBJ,77,16.1,14,23,40,53,1,,0,,
291,Zack Bolduc,105.6,LWRW,MON,76,14,17,21,29,48,0,,0,,
292,Connor Murphy,105.6,D,EDM,78,20.3,5,14,70,157,1,,0,,
293,Tommy Novak,105.3,CLW,PIT,79,14,17,25,13,43,0,,0,,
294,Danila Yurov,105,CRW,MIN,83,13.7,17,19,28,57,0,,0,,
295,Andrew Copp,104.7,CLW,DET,80,16.1,14,24,21,63,1,,0,,
296,Kaiden Guhle,104.7,D,MON,76,19.7,6,20,49,135,1,,0,,
297,Oliver Ekman-Larsson,104.4,D,TOR,77,20.8,7,29,57,76,0,,0,,
298,Mackie Samoskevich,104.4,RW,SEA,69,15.9,18,21,22,41,0,,0,,
299,Justin Sourdif,104.1,CRW,WAS,79,14,17,21,29,43,0,,0,,
300,Mikael Backlund,104.1,C,CGY,80,17.8,16,21,22,45,3,,0,,
301,Casey Mittelstadt,103.8,CLW,BOS,78,15.5,16,28,19,27,0,,0,,
302,Kirby Dach,103.8,CRW,MON,76,14.1,16,16,46,60,0,,0,,
303,Bobby Brink,103.8,RW,MIN,77,15.2,17,22,21,45,0,,0,,
304,Konsta Helenius,103.5,C,BUF,78,15.4,16,21,29,46,1,,0,,
305,Ryan Greene,103.5,UTIL,CHI,83,17.2,16,23,15,50,1,,0,,
306,Martin Fehervary,103.5,D,WAS,84,19.1,5,20,34,156,1,,0,,
307,Jake Middleton,103.2,D,CGY,78,20,5,17,68,141,0,,0,,
308,Brent Burns,103.2,D,COL,84,19.2,9,26,29,90,1,,0,,
309,Noah Hanifin,102.9,D,VEG,78,22.5,7,28,18,115,0,,0,,
310,Brett Howden,102.9,CLW,VEG,77,14.8,17,16,38,50,1,,0,,
311,Neal Pionk,102.6,D,WPG,74,22.5,7,23,45,107,1,,0,,
312,Jaden Schwartz,102.6,CLW,COL,73,15.8,17,19,19,53,1,,0,,
313,Mattias Samuelsson,102.6,D,BUF,77,22.3,8,17,30,142,1,,0,,
314,Ross Colton,102.6,CLW,NAS,73,14.8,17,19,27,50,0,,0,,
315,Dmitry Orlov,102.3,D,SJ,80,21,6,34,38,73,0,,0,,
316,Drew Doughty,102.3,D,LA,71,23.4,8,25,41,90,1,,0,,
317,Michael Amadio,102,LWRW,OTT,82,15.5,15,21,20,60,1,,0,,
318,Fabian Zetterlund,101.7,LWRW,OTT,84,13.8,18,16,16,63,0,,0,,
319,Yanni Gourde,101.7,C,TB,79,16,12,22,52,47,2,,0,,
320,Luke Hughes,101.4,D,NJ,72,22.6,9,32,27,61,0,,0,,
321,Alex Bump,101.4,LW,PHI,72,13.1,20,18,10,38,0,,0,,
322,Jean-Gabriel Pageau,101.4,C,NYI,78,15.4,15,19,10,63,4,,0,,
323,Drew O'Connor,101.4,LWRW,VAN,84,14.9,17,15,36,47,2,,0,,
324,Sean Couturier,101.1,C,PHI,80,16.2,14,22,31,51,1,,0,,
325,Philip Broberg,100.8,D,STL,77,22.8,8,27,15,106,0,,0,,
326,Dalibor Dvorsky,100.8,C,STL,83,15,18,19,26,35,0,,0,,
327,Adam Larsson,100.5,D,SEA,83,21.4,6,18,36,149,0,,0,,
328,Owen Power,100.2,D,BUF,79,21.6,8,26,19,100,1,,0,,
329,Frank Vatrano,100.2,LWRW,ANA,80,12.6,15,15,54,50,1,,0,,
330,Dmitri Voronkov,100.2,LW,CBJ,63,14.3,17,16,42,42,0,,0,,
331,Peyton Krebs,99.9,CLW,BUF,84,14,12,21,65,43,0,,0,,
332,Jordan Martinook,99.9,LWRW,CAR,79,14.7,14,19,26,62,2,,0,,
333,J.J. Moser,99.9,D,TB,81,21.1,6,23,45,103,2,,0,,
334,Damon Severson,99.9,D,CBJ,69,20.9,8,24,45,88,0,,0,,
335,Noah Ostlund,99.9,C,BUF,77,14.5,16,23,18,40,0,,0,,
336,Denton Mateychuk,99.6,D,CBJ,83,18.9,10,21,19,108,0,,0,,
337,Michael McCarron,99.6,C,MIN,78,13.8,10,12,88,79,1,,0,,
338,Josh Manson,99.6,D,COL,80,17.8,5,22,69,98,1,,0,,
339,Ilya Mikheyev,99.3,LWRW,TB,81,16.7,19,17,16,30,2,,0,,
340,Pius Suter,99.3,CLW,STL,75,15.9,18,18,19,37,1,,0,,
341,Braeden Bowman,99,LWRW,VEG,75,14.6,16,23,15,40,0,,0,,
342,Artem Zub,99,D,OTT,77,20.7,5,21,45,125,1,,0,,
343,Ben Chiarot,99,D,DET,81,20.9,5,14,60,150,0,,0,,
344,Artyom Levshunov,99,D,CHI,83,19.9,5,28,42,98,0,,0,,
345,Warren Foegele,98.7,LWRW,OTT,79,14,19,15,23,36,1,,0,,
346,Jonathan Lekkerimaki,98.7,RW,VAN,78,14.4,17,23,13,31,0,,0,,
347,Gustav Forsling,98.7,D,FLA,81,22.7,6,28,28,96,1,,0,,
348,Brayden McNabb,98.4,D,VEG,79,20.4,5,15,31,167,1,,0,,
349,Marcus Pettersson,98.4,D,NYR,79,21.5,4,21,47,131,1,,0,,
350,Alexandre Carrier,98.1,D,MON,77,19.1,5,17,35,152,1,,0,,
351,Parker Kelly,98.1,CLW,COL,84,12.8,14,14,30,77,2,,0,,
352,Anthony DeAngelo,98.1,D,NYI,74,19.8,7,30,34,73,0,,0,,
353,Hampus Lindholm,97.8,D,BOS,74,20.5,7,23,41,100,0,,0,,
354,Logan Stanley,97.8,D,WPG,77,16.6,5,16,105,91,0,,0,,
355,Ryan McDonagh,97.5,D,TB,78,19.3,6,24,17,123,1,,0,,
356,Marcus Foligno,97.5,LW,MIN,79,12.9,12,13,66,69,1,,0,,
357,Evan Rodrigues,97.2,CLWRW,NJ,78,16.2,14,21,35,39,1,,0,,
358,Pavel Mintyukov,97.2,D,ANA,83,18.1,8,21,23,111,1,,0,,
359,Ethen Frank,96.9,RW,WAS,83,11.9,16,17,18,60,0,,0,,
360,Matt Roy,96.6,D,WAS,83,20.4,4,20,25,152,1,,0,,
361,Kaapo Kakko,96.6,RW,SEA,76,14.6,16,23,24,23,0,,0,,
362,Ian Cole,96.6,D,CHI,84,18.5,3,15,51,161,1,,0,,
363,Cam Fowler,96.6,D,STL,78,21.3,6,32,17,80,1,,0,,
364,Mark Kastelic,95.4,CRW,BOS,78,11.5,11,10,94,59,1,,0,,
365,Noah Laba,95.4,C,NYR,83,13.9,14,17,31,57,1,,0,,
366,Adam Klapka,95.4,RW,CGY,83,10.6,11,13,74,69,0,,0,,
367,Nick Seeler,95.1,D,PHI,79,17.6,4,12,46,166,1,,0,,
368,Mario Ferraro,95.1,D,WPG,81,21,5,16,39,143,1,,0,,
369,Logan O'Connor,94.8,RW,COL,83,14.1,14,14,30,61,3,,0,,
370,Nick Lardis,94.8,LW,CHI,70,13.8,20,14,17,29,0,,0,,
371,Filip Chytil,94.8,C,VAN,69,15.3,17,18,25,31,0,,0,,
372,Zayne Parekh,94.5,D,CGY,80,20.3,10,22,21,84,0,,0,,
373,Michael Bunting,94.2,LW,NAS,75,14.3,15,20,34,30,0,,0,,
374,Dakota Joshua,94.2,CLW,TOR,77,12.4,14,14,50,49,1,,0,,
375,Sam Malinski,94.2,D,COL,83,17.3,8,22,23,101,0,,0,,
376,Jake Evans,93.9,C,MON,79,15.4,13,18,16,62,3,,0,,
377,Alex Iafallo,93,LWRW,WPG,80,15.1,14,16,13,72,1,,0,,
378,Dylan Samberg,92.7,D,WPG,78,21.7,4,19,34,135,1,,0,,
379,Olen Zellweger,92.7,D,BUF,78,18.5,9,19,28,96,0,,0,,
380,Braden Schneider,92.4,D,NYR,81,19.9,5,18,23,140,1,,0,,
381,Yegor Sharangovich,92.4,CLWRW,CGY,71,16.1,17,17,9,39,1,,0,,
382,Connor Zary,92.4,CLWRW,CGY,76,14.9,16,19,22,31,0,,0,,
383,Scott Laughton,92.4,CLW,LA,74,14.2,14,13,37,51,3,,0,,
384,Denver Barkey,92.4,LW,PHI,69,14,13,23,20,43,0,,0,,
385,Adam Lowry,92.1,C,WPG,75,14.9,12,17,28,64,2,,0,,
386,Kent Johnson,92.1,LWRW,CBJ,71,14.1,15,21,16,36,0,,0,,
387,Joel Armia,92.1,RW,LA,78,14.2,14,16,26,46,3,,0,,
388,Rasmus Ristolainen,92.1,D,PHI,78,21.2,6,21,24,113,1,,0,,
389,Dominic James,91.8,C,TB,83,12.6,16,19,16,35,0,,0,,
390,Justin Brazeau,91.8,RW,PIT,72,12.5,16,15,14,57,0,,0,,
391,J.T. Compher,91.8,C,DET,80,15.8,12,19,24,62,1,,0,,
392,Anthony Beauvillier,91.5,LW,WAS,83,15.1,15,15,20,55,1,,0,,
393,Nicholas Robertson,91.2,RW,PIT,75,12.8,17,16,14,40,0,,0,,
394,Zeev Buium,91.2,D,VAN,81,20,8,25,35,64,0,,0,,
395,Connor Dewar,90.6,CLW,PIT,76,13.6,14,14,24,58,2,,0,,
396,Zachary L'Heureux,90.6,LW,COL,77,13.5,13,13,47,55,1,,0,,
397,Sam Colangelo,90.3,RW,ANA,67,12.8,18,14,9,42,0,,0,,
398,Jack Drury,90.3,C,NAS,80,14.3,12,17,29,62,1,,0,,
399,Alexander Kerfoot,90.3,CLWRW,NAS,76,13.2,12,17,20,66,2,,0,,
400,Nic Dowd,90,C,VEG,79,14.5,10,15,52,68,1,,0,,
401,Jaccob Slavin,89.7,D,CAR,76,21.3,5,23,10,109,3,,0,,
402,Phillip Danault,89.7,C,MON,80,15.7,10,22,23,56,2,,0,,
403,Nick Blankenburg,89.4,D,NAS,83,17.3,9,19,19,89,1,,0,,
404,Adam Pelech,89.4,D,NYI,78,20.9,4,19,40,118,1,,0,,
405,Alex Steeves,89.1,CLW,BOS,75,10.9,15,15,26,46,0,,0,,
406,Ryan Pulock,89.1,D,NYI,74,20.8,4,18,17,145,1,,0,,
407,Johnathan Kovacevic,88.8,D,NJ,83,18.2,4,17,67,99,1,,0,,
408,Teddy Blueger,88.8,C,TOR,71,16,11,18,36,45,3,,0,,
409,Andre Burakovsky,88.5,LWRW,OTT,78,15.8,12,25,16,34,0,,0,,
410,Oliver Moore,88.5,CRW,CHI,83,13.4,13,21,28,32,0,,0,,
411,Cody Glass,88.5,CRW,NJ,74,13.7,14,14,30,50,1,,0,,
412,Sam Steel,88.5,CLW,DAL,78,15.8,12,20,28,37,2,,0,,
413,Jared Spurgeon,88.5,D,MIN,77,19.8,5,21,16,124,0,,0,,
414,Jonathan Drouin,88.2,LWRW,STL,67,16.7,11,27,15,34,0,,0,,
415,Linus Karlsson,88.2,RW,VAN,78,12.3,15,17,27,32,0,,0,,
416,John Klingberg,87.9,D,SJ,60,20.4,7,25,29,69,0,,0,,
