Fantasy,,,,,Basic ADP,,,Plus ADP,,
Player,Rank,Pos Rank,CER,%Drafted,Preseason,All Drafts,Last 7 Days,Preseason 💎,All Drafts 💎,Last 7 Days 💎
"Mikhail Sergachev
UTA - D",131,,,100%,91.7,91.8,,,,
"Cole Hutson
WSH - D",110,,,100%,92.2,92.2,,,,
"Sergei Bobrovsky
TOR - G",114,,,100%,93.4,93.2,,,,
"Nick Schmaltz
UTA - C,RW",78,,,100%,93.6,93.7,,,,
"Gavin McKenna
TOR - LW",89,,,100%,93.8,93.8,,,,
"Noah Dobson
MTL - D",145,,,100%,94.3,94.3,,,,
"Alex Ovechkin
WSH - LW,RW

O",97,,,100%,96,95.8,,,,
"Mackenzie Blackwood
COL - G",108,,,100%,97.4,97.2,,,,
"Shayne Gostisbehere
CAR - D",141,,,100%,98.8,98.8,,,,
"Charlie McAvoy
BOS - D

NA",144,,,100%,98.8,98.8,,,,
"Zach Hyman
EDM - LW,RW",84,,,100%,99.9,100,,,,
"Shea Theodore
VGK - D",139,,,100%,100.7,100.8,,,,
"Dylan Larkin
DET - C

O",100,,,98%,101.5,101.2,,,,
"Timo Meier
NJ - LW,RW",79,,,100%,102.7,102.9,,,,
"Beckett Sennecke
ANA - RW",72,,,99%,103.9,103.9,,,,
"Adam Fantilli
CBJ - C",126,,,78%,104.4,104.4,,,,
"Juuse Saros
NSH - G",183,,,99%,104.7,104.5,,,,
"Brandt Clarke
LA - D",146,,,100%,105.6,105.6,,,,
"Dylan Holloway
STL - C,LW",80,,,100%,106.6,106.6,,,,
"Mark Stone
VGK - RW",93,,,100%,107.4,107.3,,,,
"Rasmus Andersson
VGK - D",191,,,100%,108.8,108.8,,,,
"Morgan Geekie
BOS - C,LW,RW",102,,,100%,110.3,110.3,,,,
"Dougie Hamilton
NJ - D",148,,,100%,111.2,111.3,,,,
"MacKenzie Weegar
UTA - D",159,,,100%,113.3,113.2,,,,
"J.T. Miller
NYR - C,LW,RW",83,,,100%,113.7,113.9,,,,
"Roope Hintz
DAL - C",68,,,94%,114.2,114.6,,,,
"Bowen Byram
CHI - D",169,,,99%,115.5,115.5,,,,
"Nikolaj Ehlers
CAR - LW",109,,,100%,116.5,116.4,,,,
"Thomas Harley
DAL - D",171,,,100%,116.6,116.7,,,,
"Andrei Svechnikov
CAR - LW,RW",106,,,100%,117.5,117.5,,,,
"Matthew Knies
TOR - LW,RW",98,,,99%,117.5,117.7,,,,
"Logan Cooley
UTA - C",73,,,92%,117.7,118,,,,
"Ukko-Pekka Luukkonen
BUF - G",130,,,98%,118,118.1,,,,
"Brandon Montour
SEA - D",160,,,97%,119.7,119.7,,,,
"Jet Greaves
CBJ - G",173,,,95%,121.9,121.6,,,,
"Seth Jarvis
CAR - LW,RW

O",325,,,84%,122.9,123,,,,
"Steven Stamkos
NSH - C,RW",103,,,97%,123.2,123.1,,,,
"Kevin Lankinen
VAN - G",865,,,21%,125.4,125.6,,,,
"Seth Jones
FLA - D",163,,,89%,125.8,125.9,,,,
"Bo Horvat
NYI - C",82,,,88%,126.2,126.4,,,,
"John Tavares
TOR - C",86,,,86%,126.8,126.9,,,,
"Bryan Rust
PIT - RW",94,,,95%,127.2,127.2,,,,
"Yaroslav Askarov
SJ - G",227,,,72%,127.2,127.2,,,,
"Carter Hart
VGK - G",158,,,93%,127.3,127.3,,,,
"Mattias Ekholm
EDM - D",322,,,82%,128.1,128.1,,,,
"Vince Dunn
SEA - D",170,,,94%,128.2,128.3,,,,
"Jordan Binnington
STL - G",301,,,5%,128.4,128.7,,,,
"Joel Hofer
STL - G",150,,,95%,129.1,128.9,,,,
"Nico Hischier
NJ - C",107,,,85%,128.9,129.1,,,,
"Stuart Skinner
WPG - G",387,,,4%,129.9,129.6,,,,
"Travis Konecny
PHI - LW,RW",120,,,98%,129.9,129.8,,,,
"Tom Wilson
WSH - RW",105,,,88%,129.9,129.9,,,,
"Arturs Silovs
PIT - G",239,,,4%,129.8,130.1,,,,
"Mats Zuccarello
LA - RW

DTD",179,,,2%,130.7,130.6,,,,
"Trevor Zegras
PHI - C,LW,RW",115,,,96%,130.5,130.7,,,,
"Mattias Samuelsson
BUF - D

O",192,,,92%,130.7,130.8,,,,
"Kris Letang
PIT - D",495,,,7%,130.1,130.9,,,,
"Adin Hill
VGK - G",283,,,5%,130.4,131,,,,
"Michael Misa
SJ - C",168,,,5%,131.1,131.1,,,,
"Mason McTavish
STL - C",182,,,2%,130.9,131.2,,,,
"Patrick Kane
CHI - RW",154,,,22%,131.7,131.8,,,,
"Spencer Knight
CHI - G",164,,,94%,131.8,131.8,,,,
"Joseph Woll
PHI - G",253,,,2%,130.2,132,,,,
"Gabe Perreault
NYR - RW",155,,,3%,131.6,132.1,,,,
"Linus Ullmark
OTT - G",149,,,93%,132.1,132.2,,,,
"James Hagens
BOS - C",197,,,7%,132.3,132.4,,,,
"Nikita Zadorov
BOS - D",254,,,3%,131.9,132.4,,,,
"Kiefer Sherwood
SJ - LW,RW",222,,,2%,132.1,132.5,,,,
"Aaron Ekblad
FLA - D",337,,,5%,132.7,132.7,,,,
"Rickard Rakell
PIT - C,LW,RW",101,,,98%,132.8,132.9,,,,
"Egor Chinakhov
PIT - LW,RW",153,,,7%,132.9,133.1,,,,
"Tyler Toffoli
SJ - LW,RW",258,,,3%,132.3,133.1,,,,
"Brock Nelson
COL - C",125,,,65%,133.1,133.2,,,,
"Olen Zellweger
BUF - D

O",259,,,2%,132.9,133.3,,,,
"Drew Doughty
LA - D",619,,,3%,133.3,133.3,,,,
"Luke Hughes
NJ - D",186,,,70%,133.1,133.4,,,,
"Jack Roslovic
TOR - C,RW",180,,,4%,133.8,133.5,,,,
"Mason Marchment
SJ - LW",157,,,3%,133,133.6,,,,
"Vincent Trocheck
UTA - C",133,,,5%,134.1,133.7,,,,
"Filip Gustavsson
MIN - G

O",343,,,18%,133.7,133.8,,,,
"Jake McCabe
TOR - D",569,,,2%,133.9,133.9,,,,
"Devon Toews
COL - D",273,,,26%,133.8,134.1,,,,
"Anthony Stolarz
TOR - G",285,,,4%,133.2,134.1,,,,
"Ryan Leonard
WSH - RW",165,,,5%,134.6,134.4,,,,
"Lukas Dostal
ANA - G",190,,,73%,134.4,134.5,,,,
"Tyson Foerster
PHI - LW,RW",206,,,2%,134.9,134.5,,,,
"Sam Bennett
FLA - C",92,,,41%,134.5,134.8,,,,
"Brayden McNabb
VGK - D",590,,,2%,134.6,134.9,,,,
"Josh Doan
BUF - RW",134,,,6%,135.1,135.1,,,,
"Ivar Stenberg
SJ - LW",138,,,32%,135.2,135.1,,,,
"Sam Rinzel
CHI - D",225,,,2%,135.4,135.2,,,,
"Jake Neighbours
STL - LW,RW",295,,,2%,135.7,135.3,,,,
"Jake Walman
EDM - D",663,,,3%,135.6,135.4,,,,
"Frederik Andersen
EDM - G

O",269,,,6%,134.9,135.5,,,,
"Oliver Ekman-Larsson
TOR - D",493,,,3%,135.1,135.5,,,,
"Gabriel Landeskog
COL - LW,RW",166,,,9%,135.4,135.6,,,,
"Tyler Bertuzzi
CHI - LW,RW",226,,,5%,135.6,135.6,,,,
"Sergei Murashov
PIT - G",268,,,23%,135.5,135.6,,,,
"Brock Boeser
VAN - LW,RW",177,,,3%,134.7,135.7,,,,
"Denton Mateychuk
CBJ - D",272,,,3%,136.2,135.8,,,,
"J.J. Moser
TB - D",479,,,3%,135.9,135.8,,,,
"Anthony Cirelli
TB - C",178,,,5%,136,136,,,,
"John Marino
UTA - D",543,,,2%,135.7,136,,,,
"Philip Broberg
STL - D",172,,,79%,135.9,136.1,,,,
"Chris Kreider
MTL - LW",231,,,3%,135.2,136.2,,,,
"Mike Matheson
MTL - D",251,,,64%,136.1,136.2,,,,
"Colton Parayko
STL - D",238,,,3%,135.8,136.4,,,,
"Jimmy Snuggerud
STL - RW",123,,,23%,136.6,136.6,,,,
"Simon Edvinsson
DET - D",261,,,3%,135.6,136.6,,,,
"Owen Power
BUF - D",547,,,4%,136.7,136.6,,,,
"Quinton Byfield
LA - C",99,,,35%,136.5,136.7,,,,
"Jake Allen
NJ - G",217,,,7%,136.3,136.7,,,,
"Pyotr Kochetkov
CAR - G",271,,,5%,136.9,136.8,,,,
"K'Andre Miller
CAR - D",241,,,7%,136.9,136.9,,,,
"Logan Stankoven
CAR - C,RW",117,,,39%,137,137.1,,,,
"Darnell Nurse
SJ - D",230,,,16%,137.2,137.1,,,,
"Dan Vladar
PHI - G

O",174,,,77%,137.3,137.2,,,,
"Igor Chernyshov
SJ - LW,RW",193,,,2%,137.5,137.6,,,,
"Owen Tippett
PHI - LW,RW",297,,,2%,138,137.6,,,,
"Anton Frondell
CHI - C",113,,,15%,137.7,137.7,,,,
"Tristan Jarry
EDM - G",278,,,2%,137.5,137.8,,,,
"Vladislav Gavrikov
NYR - D",521,,,4%,137.4,137.9,,,,
"Brent Burns
COL - D",367,,,26%,138,138,,,,
"Elias Pettersson
VAN - C",136,,,11%,137.7,138.2,,,,
"Bobby McMann
SEA - LW,RW",220,,,2%,137.8,138.2,,,,
"Zeev Buium
VAN - D",224,,,13%,137.7,138.2,,,,
"Matt Duchene
DAL - C,RW

O",140,,,6%,138.4,138.4,,,,
"Zayne Parekh
CGY - D",223,,,10%,138.3,138.4,,,,
"Carter Verhaeghe
FLA - LW",151,,,5%,138.7,138.6,,,,
"Matvei Michkov
PHI - LW,RW",194,,,14%,138.7,138.6,,,,
"Dustin Wolf
CGY - G",243,,,24%,138.5,138.6,,,,
"Morgan Rielly
TOR - D",276,,,12%,138.4,138.6,,,,
"John Gibson
DET - G",210,,,36%,138.7,138.7,,,,
"Ryan Nugent-Hopkins
EDM - C,LW",161,,,16%,138.7,138.9,,,,
"William Eklund
OTT - LW,RW",142,,,18%,139,139,,,,
"Joey Daccord
SEA - G",277,,,13%,138.5,139,,,,
"Dmitry Orlov
SJ - D",515,,,2%,139,139,,,,
"Noah Hanifin
VGK - D",245,,,8%,139,139.2,,,,
"Jacob Trouba
SJ - D",218,,,42%,139,139.3,,,,
"Pavel Buchnevich
STL - C,LW,RW",284,,,2%,139.4,139.3,,,,
"Joel Eriksson Ek
MIN - C",104,,,22%,139.3,139.5,,,,
"Mathew Barzal
NYI - C,RW

O",127,,,63%,139.4,139.5,,,,
"Jordan Kyrou
WSH - RW",119,,,20%,140,139.9,,,,
"Artturi Lehkonen
COL - LW,RW",185,,,11%,139.8,140.1,,,,
"Aliaksei Protas
WSH - LW,RW",156,,,9%,140.6,140.3,,,,
"JJ Peterka
BOS - LW,RW",147,,,24%,140.5,140.5,,,,
"Filip Hronek
VAN - D",205,,,52%,140.5,140.5,,,,
"Travis Sanheim
PHI - D",274,,,18%,140.9,140.8,,,,
"Evgeni Malkin
PIT - C,LW,RW",128,,,72%,140.9,141,,,,
"Sam Malinski
COL - D",244,,,29%,140.9,141,,,,
"Valeri Nichushkin
CBJ - LW,RW",152,,,6%,140.9,141.1,,,,
"Jackson Blake
CAR - RW",118,,,12%,141.1,141.2,,,,
"Dylan Cozens
OTT - C",137,,,6%,141.6,141.3,,,,
"Anthony Mantha
NJ - LW,RW",184,,,7%,141.9,141.5,,,,
