Player,FPTS,AVG,ADP,GP,OFF,B2B,G,AST,PTS,SOG,PIM,HIT,BLK
"Connor Bedard (CHI - C,RW)",606,8.3,62.85,73,31,12,29,50,79,227,49,37,30
Darren Raddysh (TOR - D),604,7.5,57.4,81,26,11,13,48,61,201,44,66,87
Roope Hintz (DAL - C),604,7.4,126.88,82,28,13,27,39,66,190,28,74,35
"Juraj Slafkovsky (MTL - RW,LW)",602,7.3,54.03,82,29,10,25,42,67,187,48,122,74
Joel Eriksson Ek (MIN - C),594,7.3,145.71,81,24,10,23,31,54,234,40,133,49
Nikolaj Ehlers (CAR - LW),594,7.2,118.8,82,25,12,24,42,66,209,17,26,28
"Jesper Bratt (NJ - LW,RW)",592,7.2,86.61,82,24,13,22,58,80,176,13,73,30
"Mika Zibanejad (NYR - C,RW)",592,7.2,77.89,82,33,11,25,45,70,215,18,78,50
Jackson LaCombe (ANA - D),591,7.2,87.39,82,34,11,12,50,62,160,26,77,143
"Timo Meier (NJ - LW,RW)",587,7.2,101.64,82,24,13,28,26,54,268,39,134,60
Bryan Rust (PIT - RW),584,7.2,126.72,81,29,15,30,35,65,200,25,46,70
Lane Hutson (MTL - D),581,7.1,29.31,82,29,10,8,57,65,122,34,33,135
Roman Josi (NSH - D),580,7.4,72.59,78,18,11,16,43,59,209,35,36,122
Lucas Raymond (DET - RW),577,7,84.57,82,30,12,25,48,73,183,21,44,30
"Andrei Svechnikov (CAR - LW,RW)",577,7,117.39,82,25,12,27,39,66,219,69,164,22
"Viktor Arvidsson (DET - RW,LW)",577,7.1,Undrafted,81,30,12,28,33,61,220,30,32,39
"Nick Schmaltz (UTA - RW,C)",576,7,98.85,82,33,10,27,40,67,183,19,21,47
Quinton Byfield (LA - C),575,7,145.76,82,28,10,29,38,67,190,45,73,40
Miro Heiskanen (DAL - D),575,7,74.26,82,28,13,6,52,58,158,31,26,137
"Alex Ovechkin (WSH - LW,RW)",572,7,86.04,82,33,14,31,30,61,226,19,127,15
Mikhail Sergachev (UTA - D),571,7,94.95,82,33,10,10,49,59,161,41,51,132
Josh Morrissey (WPG - D),569,7.1,85.82,80,29,9,12,45,57,165,31,39,114
"Travis Konecny (PHI - RW,LW)",564,6.9,131.57,82,30,12,26,44,70,189,59,104,38
"Jared McCann (SEA - LW,C)",561,6.8,176.09,82,27,13,28,37,65,188,19,54,38
Tom Wilson (WSH - RW),559,7,126.41,80,33,14,27,31,58,161,112,200,64
"Will Smith (SJ - RW,LW)",555,6.9,85.99,80,31,13,29,42,71,191,15,17,15
"Morgan Geekie (BOS - LW,RW,C)",554,6.8,112.02,81,26,14,35,29,64,177,30,112,33
"Evgeni Malkin (PIT - C,RW,LW)",551,6.7,149.18,82,29,15,23,44,67,200,68,34,29
John Tavares (TOR - C),548,6.7,126.53,82,26,11,29,36,65,205,31,79,31
Kevin Fiala (LA - LW),548,6.7,134.1,82,28,10,26,35,61,217,47,56,27
"J.T. Miller (NYR - C,RW,LW)",547,6.7,118.3,82,33,11,24,48,72,168,46,162,48
Anton Frondell (CHI - C),546,6.7,156.56,82,31,12,27,30,57,201,24,50,51
Erik Karlsson (PIT - D),546,6.7,80.09,82,29,15,13,50,63,185,24,25,79
"Valeri Nichushkin (CBJ - RW,LW)",541,6.7,149.82,81,23,13,27,30,57,193,22,72,35
Logan Cooley (UTA - C),540,6.8,122.85,80,33,10,26,40,66,162,38,69,40
"Rickard Rakell (PIT - LW,RW,C)",540,6.7,141.04,81,29,15,28,29,57,216,14,101,54
Brock Nelson (COL - C),537,6.5,128.11,82,34,10,26,29,55,188,25,35,56
"Seth Jarvis (CAR - RW,LW)",535,8.1,116.47,66,25,12,28,27,55,195,18,73,33
"Drake Batherson (OTT - RW,LW)",535,6.5,89.62,82,28,14,27,39,66,179,33,123,26
"Aliaksei Protas (WSH - LW,RW)",534,6.6,158.04,81,33,14,27,29,56,174,19,32,41
Jordan Kyrou (WSH - RW),534,6.7,143.25,80,33,14,25,32,57,205,15,24,31
Charlie McAvoy (BOS - D),534,7.1,102.91,75,26,14,10,44,54,124,67,99,144
Bowen Byram (CHI - D),530,6.5,117.01,82,31,12,13,44,57,131,48,64,106
Dylan Strome (WSH - C),529,6.5,148.41,82,33,14,22,42,64,142,34,12,51
"Tomas Hertl (VGS - C,LW)",527,6.4,144.55,82,28,8,28,28,56,197,28,109,50
"Gabriel Vilardi (WPG - RW,C)",526,6.4,150.27,82,29,9,27,36,63,154,22,24,45
"Nazem Kadri (COL - C,LW)",525,6.4,143.66,82,34,10,24,36,60,225,39,51,34
Ryan O'Reilly (NSH - C),522,6.4,143.5,82,18,11,22,42,64,151,23,19,66
Shayne Gostisbehere (CAR - D),520,6.3,110.51,82,25,12,12,41,53,163,35,43,85
Noah Dobson (MTL - D),518,6.3,82.5,82,29,10,11,32,43,168,33,67,177
Shea Theodore (VGS - D),518,6.5,120.77,80,28,8,8,45,53,160,25,5,94
Brock Faber (MIN - D),517,6.3,80.94,82,24,10,11,30,41,169,33,36,139
Dylan Cozens (OTT - C),516,6.3,136.11,82,28,14,23,36,59,205,47,199,29
"Artturi Lehkonen (COL - LW,RW)",514,6.4,157.16,80,34,10,26,26,52,166,24,49,41
"Brad Marchand (FLA - LW,RW)",514,6.3,150.17,82,30,14,26,33,59,186,59,70,29
"Owen Tippett (PHI - LW,RW)",513,6.3,133.76,82,30,12,28,22,50,222,23,155,55
Mats Zuccarello (LA - RW),513,6.3,149.5,82,28,10,19,44,63,159,26,26,38
Anthony Cirelli (TB - C),512,6.2,154.84,82,17,13,22,31,53,147,39,54,60
"Matthew Knies (TOR - LW,RW)",510,6.2,125.8,82,26,11,27,38,65,169,39,171,36
"Trevor Zegras (PHI - LW,RW,C)",510,6.3,142.81,81,30,12,23,41,64,170,55,48,29
Patrick Kane (CHI - RW),509,6.2,145.36,82,31,12,18,43,61,199,17,23,24
"Alexis Lafreniere (NYR - RW,LW)",508,6.2,151.45,82,33,11,25,37,62,181,28,89,39
Victor Hedman (TB - D),506,6.2,103.4,81,17,13,11,33,44,162,36,54,118
"Gabriel Landeskog (COL - LW,RW)",506,6.5,154.36,78,34,10,20,29,49,174,60,114,45
Jackson Blake (CAR - RW),505,6.2,154.94,82,25,12,22,33,55,182,34,15,37
Elias Pettersson (VAN - C),504,6.1,127.58,82,28,11,17,40,57,159,18,79,105
"Steven Stamkos (NSH - C,RW)",504,6.1,111.51,82,18,11,31,28,59,203,48,78,37
Vincent Trocheck (UTA - C),504,6.1,123.89,82,33,10,22,36,58,166,54,203,59
"Luke Evangelista (NJ - RW,LW)",502,6.1,161.71,82,24,13,19,41,60,191,29,28,22
Beckett Sennecke (ANA - RW),500,6.2,114.25,81,34,11,25,36,61,211,59,91,26
Thomas Harley (DAL - D),499,6.2,125.56,80,28,13,11,28,39,145,23,41,150
Ivan Demidov (MTL - RW),498,6.1,104.86,81,29,10,21,43,64,148,31,30,27
