Player,FPTS,AVG,ADP,GP,OFF,B2B,G,AST,PTS,SOG,PIM,HIT,BLK
Olen Zellweger (BUF - D),357,4.4,153.52,81,27,14,7,20,27,142,31,40,91
Artem Zub (OTT - D),357,4.4,Undrafted,82,28,14,4,22,26,92,52,76,136
Vladislav Gavrikov (NYR - D),357,4.4,155.58,82,33,11,6,23,29,112,38,48,106
"Andrew Copp (DET - C,LW)",357,4.4,Undrafted,82,30,12,11,28,39,113,22,38,59
Alexander Romanov (NYI - D),354,4.5,Undrafted,78,25,13,4,16,20,108,26,161,169
Pavel Mintyukov (ANA - D),353,4.3,Undrafted,82,34,11,8,21,29,103,25,64,132
Ryan McDonagh (TB - D),352,4.3,Undrafted,81,17,13,4,21,25,70,18,31,129
Ryan McLeod (BUF - C),351,4.3,Undrafted,82,27,14,13,32,45,95,16,19,35
"Jack Roslovic (TOR - RW,C)",351,4.3,150.08,82,26,11,18,22,40,151,13,34,29
"Matthew Wood (NSH - RW,C)",350,4.3,Undrafted,82,18,11,19,17,36,141,20,69,31
Nicholas Robertson (PIT - RW),350,4.3,Undrafted,82,29,15,18,20,38,143,14,79,41
Jared Spurgeon (MIN - D),349,4.3,Undrafted,82,24,10,4,20,24,97,12,70,136
Drew Doughty (LA - D),349,4.3,150.96,82,28,10,8,24,32,108,44,62,94
Hampus Lindholm (BOS - D),348,4.4,Undrafted,79,26,14,6,23,29,116,54,20,110
